70,over Quantum Mechanics Rainbow 06,2,1,all,SEQMED,ユメのオワリ,20141130
71,青娥娘々の陰謀　?年末編?,1,1,all,うり畑牧場,まくわうに,20141229
72,曙さんとクソ提督３,2,1,all,ぽんじゆうす？,シノ,20141229
73,異聞アマノジャク VS 紫,1,1,all,有機化合物,ユーキ,20141229
74,艦隊くえすちょんvol.4,2,1,all,うずまきひよこ,わたのれ,20141229
75,がんばれ！(泣)こがさちゃん!! -突撃！隣の紅魔館-,1,1,all,ルナティック少年院(ドリル乳繰り),悪餓鬼,20141229
76,東方全裸合同,1,1,all,いんどの宮殿！,インド僧,20141229
77,ばばんばばんき,1,1,all,薬味さらい,ゾウノセ,20141229
78,よくわかる　秘封Excel教本　応用編,1,13,all,Over Action!!,深海ねころじー,20141229
79,わかさぎ姫ムキムキフェスティバル,1,1,all,えふえふえふ,木五倍子,20141229
80,雲龍のほぐしかた,2,1,r18,てんらけ茶屋,あーる。,20141229
81,時雨ちゃん×電マ×おまけ本,2,4,r18,膣からレバー,しせい,20141229
82,時津風が捕まえた!,2,3,r18,無口遮欄,ちやみ,20141229
83,艦娘アソート,2,2,r18,グンジョウ酒造,碧野グンジョウ,20141229
84,over Quantum Mechanics Rainbow 07,2,1,all,SEQMED,ユメのオワリ,20141230
85,over Quantum Mechanics Rainbow 08,2,1,all,SEQMED,ユメのオワリ,20141230
86,おとしがき2,2,7,all,よさこぃぃ,のし,20141230
87,徒然チルドレン＋,3,1,all,徒然チルドレン,若林稔弥,20141230
88,もちつき天龍,2,1,all,ひつじ海岸,こんきと,20150125
89,京都秘封神話大系　破,1,1,all,有機化合物,ユーキ,20150221
90,熊野と鈴屋のけーにひすくろーね探訪記,2,1,all,黎明ネルトリンゲン,稀周悠希　黒井みめい,20150222
91,妙高姉妹の華麗なる日常。,2,1,all,恥骨マニア,剛田ナギ,20150329
92,色娘絵本,2,3,r18,アレムガカン,桐島サトシ,20150421
93,ろーちゃんのただしい育て方,2,1,all,AngelRush!,吉北ぽぷり,20150502
94,MARINE COLORS vol.2,2,2,all,100Acre,わだつみ,20150502
95,悪魔の黙示録,1,1,all,ルナティック少年院(ドリル乳繰り),悪餓鬼,20150510
96,異聞アマノジャク VS 青娥,1,1,all,有機化合物,ユーキ,20150510
97,月夜のヒゲダンディ,1,1,all,えふえふえふ,木五倍子,20150510
98,秘封るる部　京都幻想案内2015,1,13,all,かんたんのゆめ,,20150510
99,朝潮君はいっしょうけんめい,2,3,r18,揺れる蛍光灯,西畑けい,20150614
100,今日も鎮守府は平和です,2,1,all,ひつじ海岸,こんきと,20150614
101,しぐこれ61,2,4,r18,しぐにゃん,しぐにゃん,20150621
102,ゆーちゃんとろーちゃんのHな本ですって！,2,1,r18,Apple Water　Navy Blue,りんご水　神楽七姫,20150621
103,私の姉がこんなに可愛いわけがない,2,1,all,畑を耕すだけ,みかん氏,20150621
104,BonoBoro,2,1,all,ぽんじゆうす？,シノ,20150814
105,Drastic Emotinal Girl,1,1,all,カカオ加工場,かかお,20150814
106,LINE,2,1,all,OTAUT-R,皇ハマオ,20150814
107,MW COLORS[2014-2015],1,2,all,Rainbow Vanilla,祭唄,20150814
108,POKIZM4,2,2,all,POKIZM,POKImari,20150814
109,曙さんとクソ提督４,2,1,all,ぽんじゆうす？,シノ,20150814
110,アミョンジャーズ,1,1,all,武士的魂,御月ユウヤ,20150814
111,意識の高いドＭ提督の日常,2,1,all,パレス犬吠崎,山本アリフレッド,20150814
112,異聞アマノジャク VS 針妙丸　上巻,1,1,all,有機化合物,ユーキ,20150814
113,艦隊くえすちょんvol.5,2,1,all,うずまきひよこ,わたのれ,20150814
114,カンムス・ア・ゴーゴー,2,1,all,ポンコツ,ポン,20150814
115,キリシマは-Sparking!-,2,1,all,コーヒー飲みすぎ,ビリー,20150814
116,禁断のヌーディストユートピア,1,1,all,Rainbow Vanilla,祭唄,20150814
117,空母びより　弐,2,1,all,あるいてかえろう。,都路　うかみ,20150814
118,月下美人4,1,2,r15,胡蝶夢,泡沫,20150814
119,こちら幻想放送局！,1,1,all,えふえふえふ,木五倍子,20150814
120,さとり様の尿管にこいしができる話,1,1,all,火鳥でできるもん！,火鳥,20150814
121,三倍艦王拳,2,1,all,コーヒー飲みすぎ,ビリー,20150814
122,正直邪魔です。,1,1,all,ねこのさけごと,さざなみみぉ,20150814
123,天龍ちゃんは語りたい,2,9,all,あるいてかえろう。,都路,20150814
124,博麗ふたり 終,1,1,all,重力堂,シロうさぎ　ロックハート,20150814
125,初期艦,2,1,all,ゆうじこうじ,ゆうじ　他,20150814
126,フィルシー amour,1,1,r18,あーね,鬼灯しあ,20150814
127,叢雲と意識の高いドＭ提督の思い出,2,1,all,パレス犬吠崎,山本アリフレッド,20150814
128,夜戦バカと夏日記,2,1,all,ランダムセレクト,まだら　ニードリアン,20150814
129,リトルセブン,2,1,all,ゆうじこうじ,ゆうじ　他,20150814
130,金剛４姉妹幼少期夏休み２,2,4,all,ぽんじゆうす？,シノ,20150814
131,ノーワーク×ノーライフ３,8,2,all,pixelphantom,榎宮祐,20150814
132,あきぐもちゃんす,2,1,r18,きつねとぶどう,くろな,20150814
133,ESTROUS SHOWER!,2,1,r18,ヘルフレグランス,空木あんぐ,20150814
134,ソープ鎮守府酒保,2,1,r18,寅乃檻,酉寅,20150814
135,舞風ちゃんは野分とHしたい,2,1,r18,弓張月,寄弦,20150814
136,KAITADAKE圧釜式,2,2,all,圧釜式,さう,20150814
137,高波ちゃんと霜々な妹たち,2,1,all,恥骨マニア,剛田ナギ,20150814
138,Starting Point vol.02,2,2,all,さいくるりばーす,すてば,20150814
139,乙女ちっく艦隊びより vol.4,2,1,all,恥骨マニア,剛田ナギ,20150814
140,脳内鎮守府劇場　回想録,2,1,all,どん底かしわめし,マスクザJ,20150814
141,kancolle rakugaki matomebon,2,2,all,MtU,MtU,20150814
142,艦Copi!,2,1,all,恥骨マニア,剛田ナギ,20150814
143,たのしい夏休み,2,1,all,モナコマイスター,コダマナオコ,20150814
144,らくがきわはー07,2,4,all,うつらうららか,えれっと,20150814
145,重雷装ホロスコープ,2,1,all,ヘルフレグランス,空木あんぐ,20150814
146,Freedom!,3,2,all,紅威,赤夜,20150814
