65,高雄型靴下本,2,1,r18,嘘つき屋,大嘘,2014,8,17
66,over Quantum Mechanics Rainbow 05,2,1,all,SEQMED,ユメのオワリ,2014,9,14
67,提督のおひざ,2,1,all,てんらけ茶屋,あーる。,2014,9,14
68,不器用なポーカーフェイス,1,1,all,うり畑牧場,まくわうに,2014,10,12
69,京都秘封神話大系　序,1,1,all,有機化合物,ユーキ,2014,11,2
70,over Quantum Mechanics Rainbow 06,2,1,all,SEQMED,ユメのオワリ,2014,11,30
71,青娥娘々の陰謀　?年末編?,1,1,all,うり畑牧場,まくわうに,2014,12,29
72,曙さんとクソ提督３,2,1,all,ぽんじゆうす？,シノ,2014,12,29
73,異聞アマノジャク VS 紫,1,1,all,有機化合物,ユーキ,2014,12,29
74,艦隊くえすちょんvol.4,2,1,all,うずまきひよこ,わたのれ,2014,12,29
75,がんばれ！(泣)こがさちゃん!! -突撃！隣の紅魔館-,1,1,all,ルナティック少年院(ドリル乳繰り),悪餓鬼,2014,12,29
76,東方全裸合同,1,1,all,いんどの宮殿！,インド僧,2014,12,29
77,ばばんばばんき,1,1,all,薬味さらい,ゾウノセ,2014,12,29
78,よくわかる　秘封Excel教本　応用編,1,13,all,Over Action!!,深海ねころじー,2014,12,29
79,わかさぎ姫ムキムキフェスティバル,1,1,all,えふえふえふ,木五倍子,2014,12,29
80,雲龍のほぐしかた,2,1,r18,てんらけ茶屋,あーる。,2014,12,29
81,時雨ちゃん×電マ×おまけ本,2,4,r18,膣からレバー,しせい,2014,12,29
82,時津風が捕まえた!,2,3,r18,無口遮欄,ちやみ,2014,12,29
83,艦娘アソート,2,2,r18,グンジョウ酒造,碧野グンジョウ,2014,12,29
84,over Quantum Mechanics Rainbow 07,2,1,all,SEQMED,ユメのオワリ,2014,12,30
85,over Quantum Mechanics Rainbow 08,2,1,all,SEQMED,ユメのオワリ,2014,12,30
86,おとしがき2,2,7,all,よさこぃぃ,のし,2014,12,30
87,徒然チルドレン＋,3,1,all,徒然チルドレン,若林稔弥,2014,12,30
88,もちつき天龍,2,1,all,ひつじ海岸,こんきと,2015,1,25
89,京都秘封神話大系　破,1,1,all,有機化合物,ユーキ,2015,2,21
90,熊野と鈴屋のけーにひすくろーね探訪記,2,1,all,黎明ネルトリンゲン,稀周悠希　黒井みめい,2015,2,22
91,妙高姉妹の華麗なる日常。,2,1,all,恥骨マニア,剛田ナギ,2015,3,29
92,色娘絵本,2,3,r18,アレムガカン,桐島サトシ,2015,4,21
93,ろーちゃんのただしい育て方,2,1,all,AngelRush!,吉北ぽぷり,2015,5,2
94,MARINE COLORS vol.2,2,2,all,100Acre,わだつみ,2015,5,2
95,悪魔の黙示録,1,1,all,ルナティック少年院(ドリル乳繰り),悪餓鬼,2015,5,10
96,異聞アマノジャク VS 青娥,1,1,all,有機化合物,ユーキ,2015,5,10
97,月夜のヒゲダンディ,1,1,all,えふえふえふ,木五倍子,2015,5,10
98,秘封るる部　京都幻想案内2015,1,13,all,かんたんのゆめ,-,2015,5,10
99,朝潮君はいっしょうけんめい,2,3,r18,揺れる蛍光灯,西畑けい,2015,6,14
100,今日も鎮守府は平和です,2,1,all,ひつじ海岸,こんきと,2015,6,14
101,しぐこれ61,2,4,r18,しぐにゃん,しぐにゃん,2015,6,21
102,ゆーちゃんとろーちゃんのHな本ですって！,2,1,r18,Apple Water　Navy Blue,りんご水　神楽七姫,2015,6,21
103,私の姉がこんなに可愛いわけがない,2,1,all,畑を耕すだけ,みかん氏,2015,6,21
104,BonoBoro,2,1,all,ぽんじゆうす？,シノ,2015,8,14
105,Drastic Emotinal Girl,1,1,all,カカオ加工場,かかお,2015,8,14
106,LINE,2,1,all,OTAUT-R,皇ハマオ,2015,8,14
107,MW COLORS[2014-2015],1,2,all,Rainbow Vanilla,祭唄,2015,8,14
108,POKIZM4,2,2,all,POKIZM,POKImari,2015,8,14
109,曙さんとクソ提督４,2,1,all,ぽんじゆうす？,シノ,2015,8,14
110,アミョンジャーズ,1,1,all,武士的魂,御月ユウヤ,2015,8,14
111,意識の高いドＭ提督の日常,2,1,all,パレス犬吠崎,山本アリフレッド,2015,8,14
112,異聞アマノジャク VS 針妙丸　上巻,1,1,all,有機化合物,ユーキ,2015,8,14
113,艦隊くえすちょんvol.5,2,1,all,うずまきひよこ,わたのれ,2015,8,14
114,カンムス・ア・ゴーゴー,2,1,all,ポンコツ,ポン,2015,8,14
115,キリシマは-Sparking!-,2,1,all,コーヒー飲みすぎ,ビリー,2015,8,14
116,禁断のヌーディストユートピア,1,1,all,Rainbow Vanilla,祭唄,2015,8,14
117,空母びより　弐,2,1,all,あるいてかえろう。,都路　うかみ,2015,8,14
118,月下美人4,1,2,r15,胡蝶夢,泡沫,2015,8,14
119,こちら幻想放送局！,1,1,all,えふえふえふ,木五倍子,2015,8,14
120,さとり様の尿管にこいしができる話,1,1,all,火鳥でできるもん！,火鳥,2015,8,14
121,三倍艦王拳,2,1,all,コーヒー飲みすぎ,ビリー,2015,8,14
122,正直邪魔です。,1,1,all,ねこのさけごと,さざなみみぉ,2015,8,14
123,天龍ちゃんは語りたい,2,9,all,あるいてかえろう。,都路,2015,8,14
124,博麗ふたり 終,1,1,all,重力堂,シロうさぎ　ロックハート,2015,8,14
125,初期艦,2,1,all,ゆうじこうじ,ゆうじ　他,2015,8,14
126,フィルシー amour,1,1,r18,あーね,鬼灯しあ,2015,8,14
127,叢雲と意識の高いドＭ提督の思い出,2,1,all,パレス犬吠崎,山本アリフレッド,2015,8,14
128,夜戦バカと夏日記,2,1,all,ランダムセレクト,まだら　ニードリアン,2015,8,14
129,リトルセブン,2,1,all,ゆうじこうじ,ゆうじ　他,2015,8,14
130,金剛４姉妹幼少期夏休み２,2,4,all,ぽんじゆうす？,シノ,2015,8,14
131,ノーワーク×ノーライフ３,8,2,all,pixelphantom,榎宮祐,2015,8,14
132,あきぐもちゃんす,2,1,r18,きつねとぶどう,くろな,2015,8,14
133,ESTROUS SHOWER!,2,1,r18,ヘルフレグランス,空木あんぐ,2015,8,14
134,ソープ鎮守府酒保,2,1,r18,寅乃檻,酉寅,2015,8,14
135,舞風ちゃんは野分とHしたい,2,1,r18,弓張月,寄弦,2015,8,14
136,KAITADAKE圧釜式,2,2,all,圧釜式,さう,2015,8,14
137,高波ちゃんと霜々な妹たち,2,1,all,恥骨マニア,剛田ナギ,2015,8,14
138,Starting Point vol.02,2,2,all,さいくるりばーす,すてば,2015,8,14
139,乙女ちっく艦隊びより vol.4,2,1,all,恥骨マニア,剛田ナギ,2015,8,14
140,脳内鎮守府劇場　回想録,2,1,all,どん底かしわめし,マスクザJ,2015,8,14
141,kancolle rakugaki matomebon,2,2,all,MtU,MtU,2015,8,14
142,艦Copi!,2,1,all,恥骨マニア,剛田ナギ,2015,8,14
143,たのしい夏休み,2,1,all,モナコマイスター,コダマナオコ,2015,8,14
144,らくがきわはー07,2,4,all,うつらうららか,えれっと,2015,8,14
145,重雷装ホロスコープ,2,1,all,ヘルフレグランス,空木あんぐ,2015,8,14
146,Freedom!,3,2,all,紅威,赤夜,2015,8,14
147,鎮守かわら版 続,2,2,all,NAITOU TECHNOLOGY,内藤隆,2015,8,14
148,7BOMB summer,2,4,all,おたうT-R,皇ハマオ,2015,8,14
149,HELLO&HELLO,2,1,all,遊閑地,こずみっく,2015,8,14
150,三川艦隊海の家はじめました!!,2,1,all,くろっくすた?,クロノトカゲ,2015,8,14
151,宵の雨,2,1,all,それがし屋,某氏屋,2015,8,15
152,COMIC摩耶っ天だVol.4,2,1,r18,中曽根バタリアン,中曽根ハイジ,2015,8,16
153,FoxGirlSupply3,8,2,r18,Marvelous Grace,立羽,2015,8,16
154,HEART KINE ALIVE,2,2,r18,D.N.A.Lab.,ミヤスリサ,2015,8,16
155,IGC01,2,2,r18,いちごぱんつ,カグユヅ,2015,8,16
156,PRINCIPIUM,3,2,all,T-STYLE-WORKS,T-TRACK,2015,8,16
157,R.O.D 9  Rider or Die,8,1,r18,怪奇日蝕,綾野なおと,2015,8,16
158,WALNUT78 6TH,2,2,r18,翠苑,翠燕,2015,8,16
159,WALNUT78 sp1,2,2,r18,翠苑,翠燕,2015,8,16
160,男汁(メンつゆ)Vol.3,2,4,r18,中曽根バタリアン,中曽根ハイジ,2015,8,16
161,しぶりんkか監禁　-after-,7,1,r18,Crazy9,ITITAKA,2015,8,16
162,すぱし?ばアーニャ！,7,1,r18,夕凪荘,かんな鉄木,2015,8,16
163,水着の翔鶴さんはいかが？,2,3,r18,ショコラテ,一葉モカ,2015,8,16
164,めしあがれ! Buon appetito!,2,1,r18,いちごぱんつ,カグユヅ,2015,8,16
165,おねがい浜風,2,1,r18,アレムガカン,桐島サトシ,2015,8,16
166,高雄型靴下本［参］,2,1,r18,嘘つき屋,大嘘,2015,8,16
167,真夏のぷーる大決戦,2,1,r18,色天使,白猫参謀,2015,8,16
168,気温38度、室温19度、体温37度。,2,1,r18,膣からレバー,しせい,2015,8,16
169,C-C BEACH ちとちよビーチ,2,1,r18,てんらけ茶屋,あーる。,2015,8,16
170,szyt_nnsr?,2,1,r18,AYUEST,あゆや,2015,8,16
171,中央線沿線少女 2015 Summer,3,2,all,サザンブルースカイ,rioka,2015,8,16
172,AYULOGE 08,2,2,all,AYUEST,あゆや,2015,8,16
173,潜水艦のアイデンティティが！,2,4,all,RRR,りおし,2015,8,16
174,きのこのみるく４,2,2,all,きのこのみ,kino konomi,2015,8,16
175,らくがき学芸会,3,12,all,らくがき学芸会,合同本参加者,2015,8,16
176,徒然チルドレン＋２,3,1,all,徒然チルドレン,若林稔弥,2015,8,16
177,夕張30歳と一緒の日常０　?夕張結婚前編?,2,1,all,ほしまきproject,矢野トシノリ,2015,8,16
